id;address_1;address_2;city;postcode;country
1;mindshare Interacciones Amigable;Hormigon Granito protocolo;María Josébury;Cine withd;Se
2;Cliente Cambridgeshire end-to-end;web-readiness copy;Gregorioshire;Azul Credi;Au
3;Mesa invoice;Berkshire Diseñador Somalia;Domínguezhaven;política;It
4;Pizza;local;Galvánview;Amarillo L;Cr
5;Salchichas ubiquitous Avon;Account Asimilado optical;El Ejido Ramiroport;USB;Co
6;Municipio quantifying objetos;Violeta optical Patatas;Vanegasmouth;Rojo invoi;Ru
7;relationships deposit clicks-and-mortar;out-of-the-box payment calculating;Oroscostad;boliviano;Af
8;Identidad;Arquitecto;Majadahonda Federicofurt;Account;Mo
9;Dinánmico Pound;firewall;Gandía Maricarmen;Orígenes T;Mi
10;Ordenador;open-source Cataluña;Majadahonda Benjamín;compressin;Es
